,error0
0,2.75
1,2.0
2,4.0
3,3.0
4,10.0
5,5.714285714285714
6,4.0
7,3.0
8,16.8
9,2.0
10,4.0
11,4.0
12,6.0
13,6.25
14,5.0
15,4.222222222222222
16,3106.25
17,4.0
18,10.75
19,3.0
20,2.0
21,411.1666666666667
22,15.0
23,12.0
24,8.0
25,9.5
26,9.5
27,2.7142857142857144
28,6.0
29,3.25
30,8.0
31,13730.285714285714
32,2.75
33,1.1
34,20.5
35,13.0
36,4.0
37,1.5
38,5.0
39,3.0
40,5.166666666666667
41,11.0
42,5.0
43,2.0
44,2.0
45,5.0
46,4.6
47,3.0
48,1.6666666666666667
49,3.0
50,1.5
51,34067.5
52,1.0
53,1.0
54,5.5
55,2.3684210526315788
56,16.904761904761905
57,3.5
58,1.375
59,6.0
60,20370.571428571428
61,4.0
62,4.571428571428571
63,5.5
64,13.5
65,4.0
66,1.25
67,7.0
68,3.076923076923077
69,1.5
70,1.3333333333333333
71,6.0
72,17.0
73,5.0
74,1.0
75,1086.4545454545455
76,1.7777777777777777
77,4.0
78,2.6666666666666665
79,3.0
80,6.0
81,1.0
82,9.0
83,6.666666666666667
84,2.0
85,4.0
86,7.2
87,25.263157894736842
88,2.0
89,3.0
90,1.6666666666666667
91,8.0
92,1.0
93,2.0
94,1.0
95,3.0
96,3.0
97,8.0
98,1.0
99,3.0
100,3.0
101,2.7777777777777777
102,2.25
103,1.0
104,1.3333333333333333
105,7.5
106,1.5
107,9.2
108,2.0
109,1.8
110,3.6666666666666665
111,64.0
112,8.0
113,4.0
114,20.0
115,6.0
116,10.0
117,7.0
118,6.0
119,16.8
120,41164.8
121,3.5
122,5.0
123,3.0
124,2.0
125,5.0
126,1.2
127,7.4
128,6.0
129,2.5
130,4.666666666666667
131,7.0
132,7065.5
133,2.588235294117647
134,5.0
135,2.3333333333333335
136,1.6666666666666667
137,1.2857142857142858
138,4.0
139,5.0
140,6.857142857142857
141,1.0
142,1.875
143,6.0
144,8.0
145,20820.166666666668
146,4.0
147,104813.66666666667
148,1.3333333333333333
149,7.428571428571429
150,2.0
151,8.0
152,1.0
153,11.0
154,9.0
155,7.0
156,4.0
157,3.5
158,5.0
159,3.3333333333333335
160,1.0
161,1.8
162,3.0
163,5.0
164,1.1666666666666667
165,19.0
166,2.0
167,2.3333333333333335
168,2.0
169,4.0
170,5.0
171,15.0
172,22.0
173,15679.76
174,24.0
175,7.5
176,89219.0
177,27725.333333333332
178,2.0
179,7.0
180,7.0
181,4.0
182,5.5
183,6.75
184,6.0
185,1792.0961538461538
186,5350.530612244898
187,1.4
188,4.8
189,1.6666666666666667
190,4.428571428571429
191,4.0
192,53.0
193,3.0
194,1.25
195,3.0
196,16.0
197,15.0
198,7.0
199,1.2
200,5.0
201,1.0
202,4.0
203,4.0
204,4.5
205,13.0
206,4.0
207,5.0
208,10.0
209,5.5
210,1.6666666666666667
211,19.5
212,1.3333333333333333
213,4.5
214,1.0
215,11.0
216,1.6666666666666667
217,4.0
218,6.5
219,2.0
220,4.0
221,3.5
222,3.0
223,2.0833333333333335
224,5.0
225,3045.6666666666665
226,3.0
227,2.0
228,1.0
229,3.0
230,4.0
231,1.125
232,1.5
233,2.0
234,1.5
235,7.5
236,6.0
237,9.0
238,1.6
239,3.0
240,136.25
241,1.2142857142857142
242,23.0
243,8.0
244,26.0
245,3.0
246,10.0
247,2.6666666666666665
248,6.0
249,3.0
250,2.0
251,1.5
252,4.0
253,2.0
254,2.0
255,4.0
256,8.5
257,7.0
258,5.0
259,2.5
260,3.0
261,2.4
262,6.0
263,1.1428571428571428
264,1.1764705882352942
265,9.0
266,162.0
267,1.75
268,5.0
269,6.0
270,1.0555555555555556
271,1.4545454545454546
272,5.0
273,7.0
274,1.2
275,2.0
276,5507.0
277,1.0
278,13.0
279,3.0
280,5.0
281,2.3333333333333335
282,3.75
283,4.0
284,7.0
285,12.0
286,3.5
287,8.0
288,7.0
289,6.0
290,1.8333333333333333
291,22.333333333333332
292,2.3333333333333335
293,1.1428571428571428
294,3.0
295,2.0
296,1.6666666666666667
297,2.0
298,3.0
299,6.0
300,1.0
301,2.0
302,5.0
303,1.5714285714285714
304,2.5
305,11.0
306,3596.846153846154
307,7.0
308,6.0
309,170.33333333333334
310,6.0
311,5.0
312,8.0
313,5.0
314,7.0
315,2.75
316,1.0
317,5.0
318,39836.25
319,1.7142857142857142
320,6.0
321,3.0
322,6.2
323,23.0
324,1.5
325,5.0
326,7.0
327,2.0
328,1376.157894736842
329,4.0
330,5.0
331,1.5
332,13.2
333,1.5
334,7.0
335,171.9
336,11.0
337,4.0
338,4.0
339,4.0
340,9.0
341,5.0
342,9.0
343,6.0
344,6.0
345,3.25
346,11.25
347,3.0
348,3.0
349,3.0
350,3.9
351,6.222222222222222
352,3.5
353,19.0
354,7.0
355,1.0
356,7.0
357,8.0
358,3.625
359,8.0
360,4.0
361,9.0
362,4.0
363,1.0
364,2.5
365,1.375
366,15.0
367,12.0
368,2.3333333333333335
369,6.0
370,4.0
371,2.3333333333333335
372,8.333333333333334
373,2.5
374,3.0
375,1.3333333333333333
376,4.0
377,5.0
378,4.0
379,34.0
380,4.0
381,2262.0
382,8.0
383,1.0
384,198.55555555555554
385,4.0
386,7.0
387,354.0
388,1.5
389,758.7857142857143
390,7.285714285714286
391,2.75
392,3.5
393,5.0
394,3.3333333333333335
395,4.0
396,5.0
397,2.3333333333333335
398,6.0
399,1.0
400,73458.66666666667
401,1.0
402,2.0
403,2.5625
404,309.27777777777777
405,15.0
406,9.0
407,2.8333333333333335
408,4.0
409,3.0
410,1.0
411,4.0
412,1.0
413,5.142857142857143
414,7.0
415,4.5
416,3.0
417,9.0
418,1.8571428571428572
419,7.0
420,7.0
421,1.7142857142857142
422,12.0
423,6.0
424,3.0
425,11.5
