,error0
0,2.0
1,4.0
2,6.0
3,5.0
4,224.5
5,4.666666666666667
6,3.3333333333333335
7,9.714285714285714
8,13.0
9,4.0
10,1.0
11,1.0
12,40.5
13,2.4
14,6.0
15,3.0
16,4.0
17,5.0
18,6.5
19,5.0
20,2.0
21,3.0
22,1.2307692307692308
23,9.0
24,5.0
25,1.4444444444444444
26,4.0
27,1.5
28,6.333333333333333
29,12429.0
30,2.5714285714285716
31,5.0
32,3.0
33,17716.4
34,4.0
35,5.0
36,5.0
37,352.8333333333333
38,5.0
39,1.0
40,5562.0
41,6.0
42,6.0
43,4.0
44,4.0
45,1.6666666666666667
46,16.0
47,2.3529411764705883
48,7.0
49,5.846153846153846
50,10.0
51,6.0
52,7221.25
53,1.7142857142857142
54,3.0
55,5.0
56,3.0
57,1.0
58,5.0
59,1.3333333333333333
60,795.0
61,3.5
62,363.6666666666667
63,7.0
64,3.0
65,3.0
66,4.0
67,1.1666666666666667
68,15.0
69,2.0
70,5.0
71,4.0
72,2.0
73,5.0
74,11.0
75,7.0
76,4.0
77,8.75
78,2.5
79,2.4
80,1.6666666666666667
81,3.0
82,6.0
83,1.2222222222222223
84,2.4285714285714284
85,31436.833333333332
86,3.0
87,4.0
88,2.0
89,2.0
90,2.0
91,3.0
92,2.0
93,4.0
94,6.0
95,9.0
96,8.0
97,3.0
98,14.857142857142858
99,2919.0714285714284
100,10.9
101,4.0
102,3.0
103,6.0
104,8690.625
105,4.0
106,3.0
107,3.0
108,9.0
109,11.0
110,4.0
111,4.0
112,2.0
113,5.0
114,8.0
115,2.5714285714285716
116,7.0
117,2.0
118,3.0
119,3.6
120,3.0
121,1.0
122,70.0
123,2.3529411764705883
124,3.0
125,1.2
126,1.5
127,4.333333333333333
128,8.0
129,5.0
130,4.0
131,7.0
132,12.0
133,14.0
134,1.8
135,9.0
136,7.0
137,136.2
138,27126.6
139,3.0
140,1.0
141,5.0
142,4.0
143,2.0
144,7.0
145,10.0
146,4.0
147,5.0
148,2.0
149,5.0
150,4.0
151,4.0
152,1.0
153,1.0909090909090908
154,1.3333333333333333
155,24932.25
156,1.2
157,1.4285714285714286
158,2160.0555555555557
159,10.0
160,10.0
161,6.0
162,2.5
163,1.4
164,8.8
165,5.0
166,3.6
167,55035.6
168,2.4
169,1.0
170,1.1428571428571428
171,1.7142857142857142
172,77785.0
173,3.0
174,1.5
175,474.3333333333333
176,4.0
177,5.0
178,2.0
179,5.0
180,6.0
181,1.25
182,23.9
183,973.5652173913044
184,1.4166666666666667
185,6.0
186,6.0
187,6.0
188,127.66666666666667
189,5.0
190,4.0
191,10811.473684210527
192,6.0
193,2.3333333333333335
194,3.0
195,155.25
196,1.3333333333333333
197,6.0
198,5.0
199,8.571428571428571
200,1.5
201,700.6666666666666
202,1.3333333333333333
203,38935.5
204,2.5
205,18397.727272727272
206,5.0
207,6.0
208,7.0
209,19.0
210,4.0
211,24.444444444444443
212,7.0
213,1073.4285714285713
214,4.0
215,1.6666666666666667
216,1.0
217,8.571428571428571
218,252.85714285714286
219,8.0
220,4.0
221,7.0
222,3.6666666666666665
223,7.5
224,3.6
225,2.0
226,3.0
227,6.0
228,10.0
229,4.0
230,9.0
231,4614.166666666667
232,3.0
233,5.0
234,1.5
235,33.25
236,1.8
237,2.0
238,2.4285714285714284
239,12.461538461538462
240,9.0
241,6.0
242,1.3333333333333333
243,2.0
244,8.0
245,6.0
246,1.2
247,2.8
248,4.0
249,7.0
250,6.0
251,1.0
252,7.636363636363637
253,1.0
254,14.0
255,1.5
256,4.0
257,2.0
258,5.0
259,8.0
260,4.0
261,48.0
262,29544.166666666668
263,232.125
264,94.25
265,75.0
266,7.0
267,6.0
268,27.5
269,1.0
270,4.0
271,1.25
272,7.0
273,5.0
274,3.6666666666666665
275,1.3333333333333333
276,4.0
277,4.0
278,2.0
279,56.0
280,6.0
281,2.3333333333333335
282,1.25
283,5.0
284,1245.0
285,5.5
286,1.6666666666666667
287,2.0
288,144674.0
289,5.0
290,14174.5
291,3.0
292,4.0
293,128.0
294,2946.8
295,7.0
296,3.0
297,31.857142857142858
298,5.0
299,30.625
