,error0
0,1.0
1,6.0
2,4.285714285714286
3,5.0
4,224.5
5,1.9090909090909092
6,3.3333333333333335
7,13.6
8,23.0
9,5.0
10,1.5
11,3.0
12,40.5
13,2.0
14,4.0
15,3.0
16,2.0
17,4.0
18,4.875
19,4.0
20,1.0
21,3.0
22,3.2
23,2.0
24,5.0
25,1.1818181818181819
26,2.0
27,1.8
28,1.6666666666666667
29,12429.0
30,2.0
31,5.0
32,4.0
33,29527.333333333332
34,7.0
35,6.0
36,5.0
37,176.41666666666666
38,2.0
39,2.0
40,11124.0
41,5.0
42,4.0
43,4.0
44,2.0
45,1.6666666666666667
46,11.0
47,2.5
48,9.0
49,10.857142857142858
50,5.0
51,10.0
52,5777.0
53,2.0
54,3.0
55,4.0
56,1.0
57,1.5
58,2.857142857142857
59,1.0
60,1192.5
61,3.0
62,545.5
63,5.0
64,3.0
65,3.5
66,6.0
67,1.0
68,13.0
69,3.0
70,7.0
71,5.0
72,4.0
73,4.0
74,9.0
75,5.0
76,11.0
77,17.5
78,2.0
79,3.0
80,1.6666666666666667
81,3.0
82,5.0
83,1.5714285714285714
84,2.8333333333333335
85,11788.8125
86,3.0
87,7.0
88,3.0
89,2.0
90,4.0
91,5.0
92,1.5
93,3.0
94,6.0
95,10.0
96,3.0
97,3.0
98,26.0
99,1857.590909090909
100,12.11111111111111
101,12.0
102,2.0
103,7.0
104,13905.0
105,5.0
106,3.0
107,2.0
108,13.0
109,15.0
110,5.0
111,3.0
112,2.0
113,5.0
114,7.0
115,1.5714285714285714
116,6.0
117,1.5
118,2.0
119,6.0
120,4.0
121,1.0
122,44.0
123,1.7391304347826086
124,2.3333333333333335
125,1.3333333333333333
126,2.0
127,6.5
128,8.0
129,7.0
130,2.0
131,7.0
132,20.0
133,15.0
134,2.2
135,10.0
136,7.0
137,170.25
138,22605.5
139,2.0
140,1.5
141,2.0
142,4.0
143,3.0
144,9.0
145,7.0
146,11.0
147,10.0
148,2.0
149,5.0
150,4.0
151,3.0
152,1.5
153,1.0
154,1.3333333333333333
155,24932.25
156,1.25
157,10.0
158,4320.111111111111
159,7.0
160,7.0
161,6.0
162,5.5
163,2.3333333333333335
164,6.285714285714286
165,7.0
166,2.5714285714285716
167,45863.0
168,1.2
169,1.3333333333333333
170,1.3333333333333333
171,1.3333333333333333
172,77785.0
173,4.0
174,1.0909090909090908
175,237.16666666666666
176,4.0
177,3.0
178,2.0
179,3.0
180,5.0
181,1.25
182,59.75
183,1492.8
184,1.5
185,6.0
186,6.0
187,5.0
188,191.5
189,8.0
190,5.0
191,10811.473684210527
192,7.0
193,2.625
194,6.0
195,155.25
196,1.6666666666666667
197,6.0
198,4.0
199,12.0
200,1.1666666666666667
201,700.6666666666666
202,1.5
203,51914.0
204,2.5
205,33729.166666666664
206,10.0
207,6.0
208,3.0
209,5.0
210,1.0
211,24.444444444444443
212,10.0
213,834.8888888888889
214,6.0
215,1.3333333333333333
216,2.0
217,8.571428571428571
218,177.0
219,5.0
220,5.0
221,4.666666666666667
222,3.0
223,9.0
224,6.0
225,2.0
226,3.0
227,4.0
228,14.0
229,3.0
230,27.0
231,9228.333333333334
232,2.0
233,1.25
234,2.0
235,16.625
236,2.8
237,2.5
238,6.8
239,18.0
240,12.0
241,9.0
242,1.0
243,1.5
244,6.0
245,4.0
246,1.6666666666666667
247,2.0
248,3.2
249,10.0
250,13.0
251,2.0
252,9.333333333333334
253,1.3333333333333333
254,13.0
255,1.0
256,3.0
257,1.5
258,5.0
259,6.0
260,3.5
261,80.0
262,29544.166666666668
263,464.25
264,75.4
265,75.0
266,4.0
267,6.0
268,31.428571428571427
269,1.3333333333333333
270,2.0
271,1.4375
272,11.0
273,6.0
274,3.6666666666666665
275,1.0
276,13.0
277,8.0
278,2.0
279,67.2
280,4.0
281,1.6666666666666667
282,1.0
283,4.0
284,1053.4615384615386
285,3.5
286,1.3333333333333333
287,4.0
288,72337.0
289,5.0
290,14174.5
291,4.5
292,3.0
293,256.0
294,3683.5
295,16.0
296,2.0
297,44.6
298,5.0
299,16.896551724137932
300,6.0
301,2.0
302,4.0
303,2.0
304,13.2
305,7.0
306,11.25
307,4.0
308,4.0
309,77.33333333333333
310,3.0
311,13.0
312,12.0
313,8.666666666666666
314,2582.75
315,9.0
316,5.0
317,17.0
318,4.0
319,1.0
320,36.6
321,1.0
322,12.0
323,3.5714285714285716
324,3.0
325,4.0
326,48.82608695652174
327,2.0
328,1.1111111111111112
329,3.0
330,2.5
331,4.0
332,3.8
333,2.0
334,10.0
335,7.0
336,6.0
337,2.0
338,5.0
339,1.3076923076923077
340,11.0
341,2.6666666666666665
342,2068.4
343,4.0
344,6.0
345,419.8181818181818
346,5.0
347,13.333333333333334
348,21.0
349,13.666666666666666
350,4.0
351,13.0
352,3.3333333333333335
353,3.5
354,5.0
355,2.0
356,2.5
357,2.75
358,7059.8
359,2.0
360,1.5
361,4.0
362,491.3333333333333
363,4.3076923076923075
364,1.0
365,1.5
366,2.0
367,7.0
368,18.75
369,6.0
370,2.6666666666666665
371,5.0
372,6.0
373,4.571428571428571
